step,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15,key_16,key_17,key_18,key_19,key_20,key_21,key_22,key_23,key_24,key_25,key_26,key_27,key_28,key_29,key_30,key_31,key_32,key_33,key_34,key_35,key_36,key_37,key_38,key_39,key_40,key_41,key_42,key_43,key_44,key_45,key_46,key_47,key_48,key_49,key_50,key_51,key_52,key_53,key_54,key_55,key_56,key_57,key_58,key_59,key_60,key_61,key_62,key_63,key_64,key_65,key_66,key_67,key_68,key_69,key_70,key_71,key_72,key_73,key_74,key_75,key_76,key_77
step_0_q_15,0.00982666015625,0.00153350830078125,0.9453125,0.017333984375,0.00144195556640625,0.0022735595703125,0.000385284423828125,0.00028228759765625,0.0001163482666015625,0.0003223419189453125,0.00121307373046875,0.020263671875,0.000644683837890625,6.246566772460938e-05,0.0001201629638671875,6.67572021484375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_16,0.002410888671875,0.0003814697265625,0.94140625,0.0294189453125,0.00165557861328125,0.002227783203125,0.0003662109375,0.0002593994140625,8.535385131835938e-05,0.0002593994140625,0.0011749267578125,0.0184326171875,0.00057220458984375,4.9591064453125e-05,5.1021575927734375e-05,5.3882598876953125e-05,7.450580596923828e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_17,0.00506591796875,0.00133514404296875,0.765625,0.0194091796875,0.00970458984375,0.022705078125,0.0036468505859375,0.00262451171875,0.0015869140625,0.0033416748046875,0.009765625,0.1416015625,0.00726318359375,0.000766754150390625,0.001068115234375,0.000659942626953125,0.0003070831298828125,0.0042724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_18,0.0390625,0.0245361328125,0.8125,0.05517578125,0.002532958984375,0.006683349609375,0.000812530517578125,0.000732421875,0.000354766845703125,0.000553131103515625,0.0020751953125,0.047119140625,0.002532958984375,0.00010347366333007812,0.0008392333984375,9.107589721679688e-05,4.1961669921875e-05,0.000576019287109375,0.00537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_19,0.005462646484375,0.0035247802734375,0.93359375,0.031982421875,0.000537872314453125,0.002044677734375,0.0001678466796875,8.20159912109375e-05,3.8623809814453125e-05,7.43865966796875e-05,0.0003662109375,0.01373291015625,0.0003261566162109375,9.47713851928711e-06,8.344650268554688e-05,8.463859558105469e-06,3.2186508178710938e-06,0.0002651214599609375,0.00089263916015625,0.00628662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_20,0.00689697265625,0.00133514404296875,0.9140625,0.0157470703125,0.0015869140625,0.00457763671875,0.0004405975341796875,0.0003261566162109375,0.00011777877807617188,0.000339508056640625,0.001312255859375,0.034423828125,0.00096893310546875,6.914138793945312e-05,0.0002040863037109375,7.2479248046875e-05,1.5974044799804688e-05,0.0005645751953125,0.003204345703125,0.01153564453125,0.000347137451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_21,0.013916015625,0.0009765625,0.91796875,0.0162353515625,0.0022735595703125,0.00286865234375,0.0006561279296875,0.000484466552734375,0.00021839141845703125,0.000644683837890625,0.0023040771484375,0.025146484375,0.00098419189453125,0.00012063980102539062,0.00016307830810546875,0.000156402587890625,3.039836883544922e-05,0.000675201416015625,0.0028228759765625,0.01226806640625,0.000507354736328125,6.246566772460938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_22,0.007080078125,0.000858306884765625,0.9296875,0.02392578125,0.00146484375,0.0023040771484375,0.00032806396484375,0.00025177001953125,8.344650268554688e-05,0.0002613067626953125,0.00121307373046875,0.0218505859375,0.000659942626953125,4.649162292480469e-05,7.534027099609375e-05,5.507469177246094e-05,8.344650268554688e-06,0.000400543212890625,0.0018463134765625,0.0087890625,0.0002613067626953125,1.9431114196777344e-05,3.743171691894531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_23,0.021728515625,0.00811767578125,0.8125,0.02001953125,0.003509521484375,0.00811767578125,0.000881195068359375,0.00078582763671875,0.0004863739013671875,0.00101470947265625,0.0024566650390625,0.0732421875,0.002410888671875,0.0001678466796875,0.000949859619140625,0.0002307891845703125,7.915496826171875e-05,0.00113677978515625,0.00555419921875,0.03466796875,0.000732421875,8.296966552734375e-05,0.00024127960205078125,0.0003833770751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step_0_q_24,0.0205078125,0.000701904296875,0.9296875,0.00897216796875,0.0018768310546875,0.002685546875,0.00060272216796875,0.000469207763671875,0.00020885467529296875,0.00058746337890625,0.0018463134765625,0.019287109375,0.00103759765625,0.00014591217041015625,0.00020122528076171875,0.0001926422119140625,3.0994415283203125e-05,0.00061798095703125,0.002197265625,0.0084228515625,0.000522613525390625,8.916854858398438e-05,0.00013065338134765625,0.0002956390380859375,0.00014019012451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
