query_token,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63,token_64,token_65,token_66,token_67,token_68,token_69,token_70,token_71,token_72,token_73,token_74,token_75,token_76,token_77
token_17,0.0294189453125,0.25390625,0.109375,0.016845703125,0.022216796875,0.028076171875,0.0302734375,0.032958984375,0.07568359375,0.06494140625,0.0673828125,0.0673828125,0.048095703125,0.01373291015625,0.046630859375,0.022216796875,0.0294189453125,0.0419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_18,0.0390625,0.205078125,0.322265625,0.039794921875,0.017333984375,0.021728515625,0.017578125,0.01434326171875,0.021728515625,0.03369140625,0.046875,0.064453125,0.03759765625,0.006622314453125,0.0174560546875,0.00885009765625,0.00823974609375,0.037109375,0.040771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_19,0.03564453125,0.29296875,0.3828125,0.05419921875,0.0074462890625,0.01007080078125,0.00799560546875,0.005584716796875,0.0091552734375,0.0142822265625,0.021728515625,0.03369140625,0.01458740234375,0.0028076171875,0.00634765625,0.002838134765625,0.0034027099609375,0.013427734375,0.013916015625,0.06640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_20,0.004852294921875,0.0849609375,0.08251953125,0.0162353515625,0.047119140625,0.052490234375,0.041748046875,0.05078125,0.05419921875,0.04052734375,0.0478515625,0.048583984375,0.0849609375,0.021240234375,0.05419921875,0.0303955078125,0.02099609375,0.0576171875,0.036865234375,0.0810546875,0.04052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_21,0.0017547607421875,0.01904296875,0.02783203125,0.0048828125,0.05615234375,0.04736328125,0.042236328125,0.06787109375,0.064453125,0.039794921875,0.0380859375,0.033935546875,0.08544921875,0.0220947265625,0.05029296875,0.057861328125,0.0289306640625,0.10302734375,0.033447265625,0.034912109375,0.08447265625,0.05615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_22,0.006011962890625,0.05908203125,0.056396484375,0.00933837890625,0.0361328125,0.04248046875,0.03271484375,0.056396484375,0.06396484375,0.043212890625,0.0361328125,0.043212890625,0.06591796875,0.014892578125,0.050537109375,0.041259765625,0.0301513671875,0.095703125,0.043212890625,0.0498046875,0.050537109375,0.028564453125,0.045166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_23,0.0028228759765625,0.0186767578125,0.043212890625,0.01080322265625,0.03759765625,0.03955078125,0.03759765625,0.056396484375,0.07275390625,0.058349609375,0.06201171875,0.050537109375,0.06298828125,0.0147705078125,0.03125,0.03369140625,0.02880859375,0.058349609375,0.0693359375,0.07958984375,0.0302734375,0.01904296875,0.042724609375,0.038818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_24,0.00185394287109375,0.01409912109375,0.0123291015625,0.0042724609375,0.038330078125,0.0234375,0.0322265625,0.048583984375,0.0693359375,0.05078125,0.048583984375,0.0286865234375,0.04931640625,0.0130615234375,0.0245361328125,0.044921875,0.0322265625,0.09619140625,0.044189453125,0.042236328125,0.05419921875,0.034423828125,0.042724609375,0.048583984375,0.10107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_25,0.006134033203125,0.039306640625,0.0286865234375,0.006134033203125,0.0296630859375,0.022216796875,0.0255126953125,0.03515625,0.05712890625,0.052978515625,0.052001953125,0.044189453125,0.04736328125,0.01031494140625,0.0263671875,0.0308837890625,0.026123046875,0.09716796875,0.054443359375,0.0732421875,0.038330078125,0.022705078125,0.0308837890625,0.03466796875,0.06298828125,0.045166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_26,0.0224609375,0.0869140625,0.251953125,0.0206298828125,0.02099609375,0.021240234375,0.017578125,0.0169677734375,0.021728515625,0.03662109375,0.052734375,0.0615234375,0.03857421875,0.00701904296875,0.015869140625,0.0120849609375,0.009033203125,0.0615234375,0.042236328125,0.080078125,0.0169677734375,0.007293701171875,0.0113525390625,0.01348876953125,0.0133056640625,0.01385498046875,0.0267333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
